Thv,sigma,prob_end_mean,prob_end_25,prob_end_75,prob_out10_mean,prob_out10_25,prob_out10_75,prob_out100_mean,prob_out100_25,prob_out100_75,max_cases_all_mean,max_cases_all_25,max_cases_all_75,max_cases_out_mean,max_cases_out_25,max_cases_out_75,num_cases_mean,num_cases_25,num_cases_75,end_time_mean,end_time_25,end_time_75,end_time_out_mean,end_time_out_25,end_time_out_75,time_max_mean,time_max_25,time_max_75
0.0245,0.0,0.2476,0.22,0.27,0.28139999999999993,0.25,0.31,0.2476,0.22,0.27,128.08014169429836,114.35865097328337,141.58025847287257,2.9706832547391566,2.610878034770349,3.3068204380424033,96.16612184627559,85.46108110828706,107.11819990161703,1007.0845200000001,916.3625,1102.01,137.39241987150118,120.636011011011,153.5033783783784,711.06092,640.7825,781.71
0.0245,0.02,0.22850000000000004,0.2,0.25,0.26937,0.24,0.3,0.22850000000000004,0.2,0.25,136.7207956783556,120.67170011101005,151.85415773949148,3.1133460436965468,2.733113153170468,3.451586048158301,85.05424553322162,74.83150032127047,94.79092774084972,944.82482,853.495,1037.115,143.43865640176156,125.28306031273269,159.88222222222223,645.7895999999998,569.7525,716.2325000000001
0.0245,0.04,0.19435,0.17,0.22,0.24825,0.22,0.28,0.19465000000000002,0.17,0.22,140.98789318676646,123.20460926816088,158.9200368501728,3.697478980271967,3.1515683936263335,4.0138436485509335,64.06519441382572,54.55934820761887,72.80640867662353,832.51742,746.5999999999999,922.6175,152.81628074218696,135.39423076923077,168.45444677871149,548.9558199999999,482.4375,609.4475
0.0245,0.06,0.13595000000000002,0.11,0.16,0.21769999999999998,0.19,0.25,0.14382999999999999,0.12,0.17,117.03858340726727,99.91878621123408,133.96174928562618,7.901796056114448,4.379242550571567,9.852340850202307,34.55466469273597,27.453522979013307,41.2398926212653,652.1688500000001,577.8625000000001,729.38,180.47060125442064,151.7452332657201,204.6859462710505,407.9196,345.925,468.06
0.0245,0.08,0.06653999999999999,0.05,0.08,0.19093000000000004,0.16,0.22,0.10008999999999998,0.08,0.12,80.78456666628358,61.70875438296915,99.52998525957184,21.297600377406006,13.124500123142687,28.0209586214389,12.520886685092078,7.203500562323723,16.182413463062886,466.80629,398.96000000000004,531.8399999999999,239.83957533228076,205.42934782608694,269.4340425531915,256.13185000000004,207.5775,299.77250000000004
0.0245,0.1,0.019790000000000016,0.01,0.03,0.16699000000000003,0.14,0.2,0.06709999999999998,0.05,0.08,51.89622756890639,35.27644549766887,64.26131875231599,30.634598080028933,18.586104256524166,40.27762537024925,2.7235823333796545,0.3261938754822877,4.181832189061591,304.22856,257.8875,345.485,236.6773132339023,201.2848484848485,268.18968030823703,154.89564000000001,129.7575,180.6275
0.0245,0.12,0.004010000000000001,0.0,0.01,0.1379,0.11,0.16,0.04129000000000001,0.02,0.05,30.41261237164972,15.827759247263513,40.915021162222374,25.866912660495483,13.481911942606702,34.08068035302567,0.2587062483047505,0.0,0.10937558258544038,195.76861,163.875,221.8325,181.84414353439718,153.31234848484848,205.42979591836735,94.61952000000001,78.0,107.69
0.0245,0.14,0.0004,0.0,0.0,0.11573,0.09,0.14,0.02885000000000002,0.02,0.04,19.05413044720398,10.49858833612983,25.341468395179024,18.37072443841553,10.162454970577173,24.37551897651885,0.10506736438530853,0.0,0.0,132.02434,114.5625,146.905,130.61193313131312,113.07000000000001,145.22750000000002,64.23030999999999,54.82,71.4125
0.0245,0.16,0.0,0.0,0.0,0.10105999999999998,0.08,0.12,0.023310000000000025,0.01,0.03,18.773734140755096,7.4528698184698365,26.060875142939466,18.7737341407551,7.4528698184698365,26.060875142939466,0.0,0.0,0.0,103.20784,87.5175,116.4125,103.20783999999999,87.51750000000001,116.41250000000001,49.94930999999999,42.114999999999995,56.51
0.0245,0.18,0.0,0.0,0.0,0.08156,0.06,0.1,0.013970000000000008,0.01,0.02,10.367665865821042,4.669984052788757,12.347332864510685,10.367665865821044,4.669984052788757,12.347332864510685,0.0,0.0,0.0,73.99783,64.4775,82.165,73.99783000000001,64.47749999999999,82.165,37.233439999999995,32.2425,41.2975
0.0245,0.2,0.0,0.0,0.0,0.06921999999999998,0.05,0.09,0.009460000000000003,0.0,0.01,7.401979544000838,3.5719753954880944,9.085162193694103,7.401979544000839,3.571975395488094,9.085162193694103,0.0,0.0,0.0,59.62779,51.89,66.9225,59.62778999999999,51.89,66.9225,29.62915,25.49,33.49
0.0245,0.22,0.0,0.0,0.0,0.057509999999999985,0.04,0.07,0.008650000000000003,0.0,0.01,7.2346334625666335,3.185436276526161,7.77779962430815,7.2346334625666335,3.1854362765261612,7.77779962430815,0.0,0.0,0.0,48.802060000000004,43.144999999999996,53.37,48.802060000000004,43.144999999999996,53.37,24.521390000000004,21.2475,27.115
0.0245,0.24,0.0,0.0,0.0,0.054229999999999993,0.04,0.07,0.007400000000000001,0.0,0.01,7.372173017996157,2.9311252262296272,7.313878714169163,7.3721730179961575,2.9311252262296272,7.313878714169163,0.0,0.0,0.0,41.01276,36.057500000000005,44.92,41.01276,36.057500000000005,44.92,20.94862,18.4375,22.9325
0.0245,0.26,0.0,0.0,0.0,0.05071999999999999,0.04,0.0625,0.009000000000000003,0.0,0.01,8.006581155927284,2.757364744984561,8.615974486573224,8.006581155927284,2.757364744984561,8.615974486573224,0.0,0.0,0.0,36.23509000000001,32.1425,40.02,36.23509,32.1425,40.02,18.80626,16.560000000000002,20.9625
0.0245,0.28,0.0,0.0,0.0,0.04621999999999999,0.03,0.06,0.00538,0.0,0.01,5.079939601138939,2.4288983654622465,5.135600248341165,5.079939601138938,2.4288983654622465,5.135600248341165,0.0,0.0,0.0,31.123140000000003,27.6875,33.97,31.12314,27.6875,33.97,16.19563,14.2375,17.83
0.0245,0.3,0.0,0.0,0.0,0.04267000000000001,0.03,0.06,0.006200000000000001,0.0,0.01,5.900383689372341,2.273769493018192,5.45438314218037,5.90038368937234,2.273769493018192,5.45438314218037,0.0,0.0,0.0,27.457519999999995,23.7675,30.372500000000002,27.45752,23.767500000000002,30.3725,14.56229,12.64,16.1675
0.0245,0.32,0.0,0.0,0.0,0.04062000000000001,0.03,0.05,0.00518,0.0,0.01,5.122091913972376,2.1275560869047396,4.335770796509512,5.122091913972375,2.12755608690474,4.335770796509512,0.0,0.0,0.0,24.67853,21.805,26.865000000000002,24.67853,21.805,26.865000000000002,13.132570000000001,11.6975,14.4325
0.0245,0.34,0.0,0.0,0.0,0.037540000000000025,0.02,0.05,0.005770000000000002,0.0,0.01,5.144293503751299,2.0189680478582366,5.723936676041131,5.144293503751297,2.0189680478582366,5.723936676041131,0.0,0.0,0.0,22.265000000000004,19.595,24.512500000000003,22.265,19.595,24.5125,11.984140000000002,10.5775,13.0
0.0245,0.36,0.0,0.0,0.0,0.03500000000000001,0.02,0.05,0.005449999999999999,0.0,0.01,4.950857307518869,1.9357396498444617,4.327748139965349,4.950857307518869,1.935739649844462,4.327748139965349,0.0,0.0,0.0,19.812480000000004,17.57,21.665,19.812479999999997,17.57,21.665,10.801570000000002,9.72,11.7
0.0245,0.38,0.0,0.0,0.0,0.03531000000000001,0.02,0.05,0.005530000000000001,0.0,0.01,7.550830934493878,1.951737906733373,6.712843641624697,7.550830934493877,1.951737906733373,6.712843641624698,0.0,0.0,0.0,19.01371,16.805,21.0025,19.013710000000003,16.805,21.0025,10.438310000000001,9.21,11.46
0.0245,0.4,0.0,0.0,0.0,0.03661,0.02,0.05,0.005500000000000001,0.0,0.01,3.8839374298070806,1.879210239940433,4.578925173123485,3.8839374298070806,1.8792102399404331,4.578925173123485,0.0,0.0,0.0,17.702369999999995,15.7025,19.43,17.70237,15.7025,19.43,9.643769999999998,8.6575,10.57
